"source"	"volunteerId"	"activityName"	"feature"	"averageMeasure"
"train"	"1"	"LAYING"	"frequencyBodyAccelerationJerkMagnitudeMean"	-0.9333003608
"train"	"1"	"LAYING"	"frequencyBodyAccelerationJerkMagnitudeMeanFrequency"	0.26639115416
"train"	"1"	"LAYING"	"frequencyBodyAccelerationJerkMagnitudeStandardDeviation"	-0.9218039756
"train"	"1"	"LAYING"	"frequencyBodyAccelerationJerkMeanFrequencyX"	0.132419092398
"train"	"1"	"LAYING"	"frequencyBodyAccelerationJerkMeanFrequencyY"	0.024513618956
"train"	"1"	"LAYING"	"frequencyBodyAccelerationJerkMeanFrequencyZ"	0.02438794528
"train"	"1"	"LAYING"	"frequencyBodyAccelerationJerkMeanX"	-0.9570738838
"train"	"1"	"LAYING"	"frequencyBodyAccelerationJerkMeanY"	-0.9224626098
"train"	"1"	"LAYING"	"frequencyBodyAccelerationJerkMeanZ"	-0.9480609042
"train"	"1"	"LAYING"	"frequencyBodyAccelerationJerkStandardDeviationX"	-0.9641607086
"train"	"1"	"LAYING"	"frequencyBodyAccelerationJerkStandardDeviationY"	-0.9322178704
"train"	"1"	"LAYING"	"frequencyBodyAccelerationJerkStandardDeviationZ"	-0.9605869872
"train"	"1"	"LAYING"	"frequencyBodyAccelerationMagnitudeMean"	-0.8617676481
"train"	"1"	"LAYING"	"frequencyBodyAccelerationMagnitudeMeanFrequency"	0.08640856294
"train"	"1"	"LAYING"	"frequencyBodyAccelerationMagnitudeStandardDeviation"	-0.7983009404
"train"	"1"	"LAYING"	"frequencyBodyAccelerationMeanFrequencyX"	-0.158792670508
"train"	"1"	"LAYING"	"frequencyBodyAccelerationMeanFrequencyY"	0.097534841586
"train"	"1"	"LAYING"	"frequencyBodyAccelerationMeanFrequencyZ"	0.08943765522
"train"	"1"	"LAYING"	"frequencyBodyAccelerationMeanX"	-0.9390990524
"train"	"1"	"LAYING"	"frequencyBodyAccelerationMeanY"	-0.86706520518
"train"	"1"	"LAYING"	"frequencyBodyAccelerationMeanZ"	-0.8826668762
"train"	"1"	"LAYING"	"frequencyBodyAccelerationStandardDeviationX"	-0.9244374346
"train"	"1"	"LAYING"	"frequencyBodyAccelerationStandardDeviationY"	-0.8336255561
"train"	"1"	"LAYING"	"frequencyBodyAccelerationStandardDeviationZ"	-0.81289155944
"train"	"1"	"LAYING"	"frequencyBodyGyroscopeJerkMagnitudeMean"	-0.9423669466
"train"	"1"	"LAYING"	"frequencyBodyGyroscopeJerkMagnitudeMeanFrequency"	0.17648590708
"train"	"1"	"LAYING"	"frequencyBodyGyroscopeJerkMagnitudeStandardDeviation"	-0.9326606676
"train"	"1"	"LAYING"	"frequencyBodyGyroscopeMagnitudeMean"	-0.8621901854
"train"	"1"	"LAYING"	"frequencyBodyGyroscopeMagnitudeMeanFrequency"	-0.1397750127
"train"	"1"	"LAYING"	"frequencyBodyGyroscopeMagnitudeStandardDeviation"	-0.82431943968
"train"	"1"	"LAYING"	"frequencyBodyGyroscopeMeanFrequencyX"	-0.003546795856
"train"	"1"	"LAYING"	"frequencyBodyGyroscopeMeanFrequencyY"	-0.091529130882
"train"	"1"	"LAYING"	"frequencyBodyGyroscopeMeanFrequencyZ"	0.01045812566
"train"	"1"	"LAYING"	"frequencyBodyGyroscopeMeanX"	-0.850249174586
"train"	"1"	"LAYING"	"frequencyBodyGyroscopeMeanY"	-0.9521914948
"train"	"1"	"LAYING"	"frequencyBodyGyroscopeMeanZ"	-0.909302721
"train"	"1"	"LAYING"	"frequencyBodyGyroscopeStandardDeviationX"	-0.8822964508
"train"	"1"	"LAYING"	"frequencyBodyGyroscopeStandardDeviationY"	-0.9512320494
"train"	"1"	"LAYING"	"frequencyBodyGyroscopeStandardDeviationZ"	-0.9165825082
"train"	"1"	"LAYING"	"timeBodyAccelerationJerkMagnitudeMean"	-0.9543962646
"train"	"1"	"LAYING"	"timeBodyAccelerationJerkMagnitudeStandardDeviation"	-0.9282456284
"train"	"1"	"LAYING"	"timeBodyAccelerationJerkMeanX"	0.0810865342
"train"	"1"	"LAYING"	"timeBodyAccelerationJerkMeanY"	0.0038382040088
"train"	"1"	"LAYING"	"timeBodyAccelerationJerkMeanZ"	0.010834236361
"train"	"1"	"LAYING"	"timeBodyAccelerationJerkStandardDeviationX"	-0.958482112
"train"	"1"	"LAYING"	"timeBodyAccelerationJerkStandardDeviationY"	-0.9241492736
"train"	"1"	"LAYING"	"timeBodyAccelerationJerkStandardDeviationZ"	-0.9548551108
"train"	"1"	"LAYING"	"timeBodyAccelerationMagnitudeMean"	-0.8419291525
"train"	"1"	"LAYING"	"timeBodyAccelerationMagnitudeStandardDeviation"	-0.79514486386
"train"	"1"	"LAYING"	"timeBodyAccelerationMeanX"	0.22159824394
"train"	"1"	"LAYING"	"timeBodyAccelerationMeanY"	-0.0405139534294
"train"	"1"	"LAYING"	"timeBodyAccelerationMeanZ"	-0.11320355358
"train"	"1"	"LAYING"	"timeBodyAccelerationStandardDeviationX"	-0.9280564692
"train"	"1"	"LAYING"	"timeBodyAccelerationStandardDeviationY"	-0.83682740562
"train"	"1"	"LAYING"	"timeBodyAccelerationStandardDeviationZ"	-0.826061401628
"train"	"1"	"LAYING"	"timeBodyGyroscopeJerkMagnitudeMean"	-0.96346103
"train"	"1"	"LAYING"	"timeBodyGyroscopeJerkMagnitudeStandardDeviation"	-0.9358409828
"train"	"1"	"LAYING"	"timeBodyGyroscopeJerkMeanX"	-0.107270949192
"train"	"1"	"LAYING"	"timeBodyGyroscopeJerkMeanY"	-0.04151728689
"train"	"1"	"LAYING"	"timeBodyGyroscopeJerkMeanZ"	-0.0740501211
"train"	"1"	"LAYING"	"timeBodyGyroscopeJerkStandardDeviationX"	-0.9186085208
"train"	"1"	"LAYING"	"timeBodyGyroscopeJerkStandardDeviationY"	-0.9679072436
"train"	"1"	"LAYING"	"timeBodyGyroscopeJerkStandardDeviationZ"	-0.9577901596
"train"	"1"	"LAYING"	"timeBodyGyroscopeMagnitudeMean"	-0.874759548
"train"	"1"	"LAYING"	"timeBodyGyroscopeMagnitudeStandardDeviation"	-0.81901016976
"train"	"1"	"LAYING"	"timeBodyGyroscopeMeanX"	-0.016553093978
"train"	"1"	"LAYING"	"timeBodyGyroscopeMeanY"	-0.064486124088
"train"	"1"	"LAYING"	"timeBodyGyroscopeMeanZ"	0.14868943626
